Incident_ID,Equipment,Symptoms,Root_Cause,Corrective_Action,Downtime_Hours,Lessons_Learned
INC-001,Blast Furnace,High temperature alarm on stave cooling loop 4,Refractory wear exposed copper stave to severe thermal shock,Injected carbon grout and bypassed compromised cooling channel until outage,8.5,Increase frequency of thermal shell imaging from monthly to bi-weekly
INC-002,Blast Furnace,Sudden drop in Tuyere 12 cooling water flow,Burn-through on Tuyere 12 copper tip due to hot metal contact,Isolated water circuit and replaced Tuyere 12 under reduced wind,3.0,Install automated acoustic leak detection on primary tuyere cooling lines
INC-003,Blast Furnace,Mud gun failed to slew into position during tapping,Internal leak in the mud gun hydraulic slew cylinder,Replaced hydraulic cylinder and bled the system,1.5,Add cylinder seal pressure-drop tests to the monthly PM schedule
INC-004,Blast Furnace,Top gas analyzer showing erratic CO/CO2 readings,Condensation buildup in the sampling line leading to the sensor,Purged lines with nitrogen and replaced the moisture trap,0.5,Install heated trace lines on all top gas analyzer sampling tubes
INC-005,Blast Furnace,Skip car drive motor tripped on overcurrent,Winch drum brake failed to fully release due to mechanical binding,Cleaned and lubricated brake linkage; reset motor overloads,2.0,Implement visual checks of brake caliper release during skip car operation
INC-006,Blast Furnace,Hot blast valve #2 failed to fully seat,Refractory buildup on the valve seat,Cooled valve and manually chipped away slag/refractory buildup,4.0,Adjust combustion air ratios in stoves to reduce refractory dusting
INC-007,Blast Furnace,Bleeder valve opened prematurely during normal operation,Fatigue failure of the valve counterweight linkage,Replaced linkage and re-calibrated opening pressure setpoints,2.5,Upgrade bleeder linkages to high-tensile forged steel components
INC-008,Blast Furnace,Slag granulation pump tripped on high vibration,Excessive slag wool buildup on the pump impeller,Isolated pump and manually cleared impeller; balanced shaft,3.5,Optimize granulation water pressure to prevent slag wool formation
INC-009,Blast Furnace,Pulverized Coal Injection (PCI) line blockage,Moisture in the coal dust causing agglomeration in the feed pipe,Dismantled and pneumatically cleaned the blocked feed pipe section,5.0,Improve moisture monitoring at the coal grinding mill exit
INC-010,Blast Furnace,Cast house dedusting fan suction dropped by 30%,Torn filter bags in the main baghouse compartment,Isolated compartment and replaced 45 torn filter bags,6.0,Install differential pressure sensors on individual baghouse compartments
INC-011,Blast Furnace,Charging bell winch rope frayed,Misalignment of the top deflector sheave,Replaced 200m of wire rope and laser-aligned the sheave,8.0,Add sheave alignment checks to quarterly mechanical inspections
INC-012,BOF Converter,Tilt drive gearbox vibrating heavily,Spalling on the secondary pinion gear teeth,Replaced pinion gear and performed full oil flush,18.0,Perform oil debris analysis on tilt drives bi-monthly
INC-013,BOF Converter,Oxygen lance hoist jammed mid-blow,Failed limit switch caused over-travel and rope slack,Manually reversed winch; replaced limit switch and tensioned rope,2.5,Implement dual-redundant limit switches for lance hoist upper limits
INC-014,BOF Converter,Water leak detected from the exhaust hood panel,Thermal fatigue cracking in panel 4B,Welded patch over crack; scheduled full panel replacement,4.0,Monitor hood cooling water return temperatures more strictly
INC-015,BOF Converter,Bottom stirring argon flow critically low,Clogged porous plugs at the vessel bottom,Burned out clogs using oxygen lances during turnaround,1.5,Adjust stirring gas flow rates during tapping to prevent metal ingress
INC-016,BOF Converter,Main oxygen control valve unresponsive,Pneumatic actuator diaphragm ruptured,Replaced pneumatic actuator and re-stroked the valve,2.0,Replace pneumatic diaphragms preventatively every 2 years
INC-017,BOF Converter,Vessel lip ring deformed preventing tight hood seal,Impact damage from excessive skull buildup removal,Cut out deformed section and welded new lip ring segment,12.0,Use thermal lancing for skull removal instead of mechanical ramming
INC-018,BOF Converter,Slag door hydraulic cylinder leaking heavily,Scored cylinder rod due to airborne dust contamination,Replaced cylinder and installed a protective rod boot,3.0,Mandate protective boots on all hydraulics within 10m of the converter
INC-019,BOF Converter,Trunnion bearing temperature spike (85C),Loss of grease supply due to a blocked auto-lube line,Cleared auto-lube line and manually packed bearing,4.5,Install flow sensors on critical auto-lube grease lines
INC-020,BOF Converter,Steel transfer car derailed,Debris on the tracks and worn wheel flanges,Rerailed car using jacks; replaced two worn wheels,6.0,Schedule daily track sweeping and monthly wheel profile checks
INC-021,BOF Converter,Off-gas temperature sensor failing repeatedly,Sensor sheath melting due to direct flame impingement,Relocated sensor 2 meters downstream and upgraded sheath material,1.0,Review fluid dynamics of off-gas system before placing new sensors
INC-022,BOF Converter,Alloy addition chute jammed,Moisture caused ferrosilicon fines to cake and harden,Chipped out caked alloy and installed electric heaters on chute walls,3.5,Keep alloy storage bins completely dry and enclosed
INC-023,Continuous Caster,Mould oscillator motion irregular and jerky,Fatigue failure of the drive-side leaf spring,Replaced leaf spring assembly and re-calibrated stroke,8.0,Mandatory leaf spring replacement at 2.5 million oscillation cycles
INC-024,Continuous Caster,Liquid steel breakout below the mould,Sudden fluctuation in mould level causing thin shell formation,Aborted cast; cleared breakout steel and replaced mould copper,24.0,Tune mould level control PID loop and inspect eddy current sensors
INC-025,Continuous Caster,Segment 2 drive roll bearing seized,Cooling water penetrated the bearing housing,Cut out seized roll; replaced bearing and upgraded housing seals,6.5,Use double-lip labyrinth seals on all segment rolls
INC-026,Continuous Caster,Secondary cooling water pressure dropped,Clogged spray nozzles in Zone 2,Flushed header and replaced 12 clogged nozzles,2.0,Install finer mesh auto-backwash filters on secondary cooling water intake
INC-027,Continuous Caster,Dummy bar winch motor tripped,Brake failed to release due to burned contactor,Replaced electrical contactor and manually lowered dummy bar,1.5,Scan electrical cabinets with thermal camera weekly to catch hot spots
INC-028,Continuous Caster,Torch cutter failed to clamp slab,Hydraulic pressure loss in the clamping circuit,Replaced blown hydraulic hose on the cutting car,1.0,Use fire-resistant hydraulic hoses near the torch cutting zone
INC-029,Continuous Caster,Tundish car travel motor stalled,Spilled steel slag welded the car wheel to the rail,Lanced away the slag and repaired the rail profile,3.5,Install steel deflector shields over tundish car rails
INC-030,Continuous Caster,Ladle turret slew bearing vibrating,Lack of lubrication leading to metal-to-metal contact,Injected emergency extreme-pressure grease; scheduled bearing swap,4.0,Automate grease injection for the turret bearing and monitor reservoir
INC-031,Continuous Caster,EMS (Electromagnetic Stirrer) tripped,Insulation failure on coil phase B due to water ingress,Bypassed EMS for current cast; replaced coil during turnaround,10.0,Pot all EMS coil connections with high-grade waterproof epoxy
