timestamp,asset_id,temperature,vibration,pressure,current,flow_rate,health_score,risk_score
2025-01-01,AST-101,1052.61,2.37,104.0,396.38,650.98,90.0,14
2025-01-02,AST-101,1043.3,2.2,106.25,394.12,649.75,91.19,6
2025-01-03,AST-101,1041.98,2.73,105.41,395.64,657.24,89.09,6
2025-01-04,AST-101,1111.74,3.17,105.24,398.13,653.83,74.98,30
2025-01-05,AST-101,1025.51,3.15,107.18,394.53,644.48,87.4,9
2025-01-06,AST-101,1007.03,2.3,105.72,403.04,644.76,90.81,13
2025-01-07,AST-101,1046.54,3.39,104.91,404.72,654.89,86.45,11
2025-01-08,AST-101,1041.12,2.9,108.64,404.12,653.54,88.4,9
2025-01-09,AST-101,1074.91,3.69,104.82,404.92,656.74,80.27,16
2025-01-10,AST-101,1059.98,2.6,105.49,400.68,646.66,87.61,15
2025-01-11,AST-101,1064.86,2.82,103.78,401.37,654.85,85.76,16
2025-01-12,AST-101,1066.5,2.9,104.63,402.06,647.55,85.08,11
2025-01-13,AST-101,1060.7,2.77,106.72,401.44,654.43,86.77,13
2025-01-14,AST-101,1035.1,4.05,107.4,402.23,649.25,83.82,15
2025-01-15,AST-101,1056.58,2.78,104.36,399.31,641.22,87.55,15
2025-01-16,AST-101,1072.67,2.69,104.98,397.61,635.78,84.69,17
2025-01-17,AST-101,1068.28,3.14,105.76,395.56,656.25,83.77,17
2025-01-18,AST-101,1050.31,2.54,106.37,404.35,653.07,89.79,6
2025-01-19,AST-101,1043.12,2.85,104.39,395.19,649.75,88.59,9
2025-01-20,AST-101,1042.47,2.26,107.22,394.22,656.7,90.96,11
2025-01-21,AST-101,1089.41,3.06,104.43,393.63,651.75,79.88,23
2025-01-22,AST-101,1010.69,2.91,107.37,399.25,649.94,88.35,11
2025-01-23,AST-101,1050.35,3.25,105.26,409.95,647.7,86.93,9
2025-01-24,AST-101,1086.09,3.39,105.02,399.9,643.06,79.23,24
2025-01-25,AST-101,1069.12,3.63,105.48,406.16,651.33,81.65,23
2025-01-26,AST-101,1096.46,2.83,105.86,409.93,647.15,79.38,15
2025-01-27,AST-101,1040.15,4.16,104.28,399.19,641.86,83.35,16
2025-01-28,AST-101,1046.07,3.0,105.09,396.74,654.66,88.0,10
2025-01-29,AST-101,1070.07,2.25,107.64,389.76,654.38,87.01,13
2025-01-30,AST-101,1104.71,2.75,103.73,393.01,653.27,78.06,19
2025-01-31,AST-101,1077.23,3.16,106.94,405.8,649.26,81.92,21
2025-02-01,AST-101,1040.73,3.05,104.67,400.56,650.28,87.8,11
2025-02-02,AST-101,1005.06,3.23,103.35,399.8,647.22,87.1,16
2025-02-03,AST-101,1090.6,2.99,105.24,389.06,650.73,79.91,22
2025-02-04,AST-101,1065.82,1.99,105.03,395.63,649.4,88.89,6
2025-02-05,AST-101,1023.5,3.32,101.19,396.61,657.06,86.7,13
2025-02-06,AST-101,1013.61,3.02,103.27,393.72,646.77,87.91,9
2025-02-07,AST-101,1053.67,3.8,107.71,390.84,644.14,84.09,15
2025-02-08,AST-101,1035.95,2.64,105.06,405.11,655.61,89.44,12
2025-02-09,AST-101,1057.25,3.24,103.78,397.21,642.21,85.6,15
2025-02-10,AST-101,997.82,2.8,109.23,397.36,649.97,88.82,11
2025-02-11,AST-101,1040.41,2.85,104.61,396.25,651.03,88.62,7
2025-02-12,AST-101,1048.72,2.35,105.79,399.5,642.87,90.6,6
2025-02-13,AST-101,1080.52,3.78,104.59,403.23,647.98,78.77,24
2025-02-14,AST-101,1038.76,3.59,104.64,409.64,660.52,85.63,16
2025-02-15,AST-101,1024.72,3.47,103.46,393.33,653.71,86.11,18
2025-02-16,AST-101,1029.39,3.03,102.91,394.16,646.6,87.86,9
2025-02-17,AST-101,1039.94,2.74,106.11,410.06,645.72,89.04,11
2025-02-18,AST-101,1028.15,2.77,102.99,404.53,654.19,88.91,10
